covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
CCT8,34.17938309176254,698099732528366.0,25.42870090464834,-15.659954854989302,84.01872103851437,1.5811316043467497e-07,3.082243345312952e+36,0.0,1.344126198972067,0.17890758145312413,2.4827135700292846
HIST1H3A,1.9257065133452569,6.859993631230153,3.905131162989308,-5.728209921018803,9.579622947709318,0.003252894963861598,14466.96347202452,0.0,0.49312210857244626,0.6219263102043915,0.6851844441145969
HIST1H4F,-15.351838650418708,2.1516973602150334e-07,16.43629858102621,-47.56639190837687,16.86271460753946,2.1987632528482556e-21,21056389.422367077,0.0,-0.9340204289146107,0.35029335515649196,1.5133644735007428
HTRA1,-26.562064295124806,2.9123398224732463e-12,19.151873505279514,-64.09904660193953,10.974918011689923,1.4525723248981985e-28,58391.056308730986,0.0,-1.3869172792835414,0.16546698823749983,2.595384676384031
KRT14,15.633822542548971,6161449.045768099,11.22424481107873,-6.365293040825923,37.632938125923864,0.0017202372857751589,2.2068731248602044e+16,0.0,1.3928618633761294,0.16366156674640464,2.611212526736412
KRT5,-2.4821974064107852,0.08355940972446727,13.943785628371058,-29.81151504616527,24.847120233343695,1.1298570979739753e-13,61796973847.592,0.0,-0.1780145989450901,0.8587115105601888,0.21975456444236802
NARS,3.3751191567324312,29.227766258874162,9.915547656632905,-16.058997137258594,22.809235450723456,1.060879746781256e-07,8052395411.216425,0.0,0.3403865599369773,0.7335654387015005,0.44700242567702597
UBB,-1.9216949081107049,0.14635868726212872,12.462840889674242,-26.348414196925344,22.505024380703933,3.606028106074351e-12,5940293504.925869,0.0,-0.15419396950681402,0.8774567969641016,0.18860000119671402
PTGENDER,0.37039099609130566,1.4483007839166753,0.3550006443211688,-0.3253974812666989,1.0661794734493102,0.722240219623299,2.9042624651777142,0.0,1.043353024892578,0.2967848212698411,1.7525107860779023
AGE,-0.004721643120167889,0.9952894863134147,0.022706807264095547,-0.049226167561687635,0.03978288132135186,0.9519658015651533,1.0405848192627782,0.0,-0.2079395427658315,0.8352761732672518,0.2596748099625446
